country_id,region_code,region_name,name,postcode
JP,JP-AP,"Aichi Prefecture",Aisai-shi,
JP,JP-AP,"Aichi Prefecture",Ama-gun,
JP,JP-AP,"Aichi Prefecture",Anjo-shi,
JP,JP-AP,"Aichi Prefecture",Chiryu,
JP,JP-AP,"Aichi Prefecture",Chiryu-shi,
JP,JP-AP,"Aichi Prefecture",Chita,
JP,JP-AP,"Aichi Prefecture",Chita-shi,
JP,JP-AP,"Aichi Prefecture",Gamagori,
JP,JP-AP,"Aichi Prefecture",Gamagori-shi,
JP,JP-AP,"Aichi Prefecture",Handa,
JP,JP-AP,"Aichi Prefecture",Handa-shi,
JP,JP-AP,"Aichi Prefecture",Hekinan,
JP,JP-AP,"Aichi Prefecture",Hekinan-shi,
JP,JP-AP,"Aichi Prefecture",Ichinomiya,
JP,JP-AP,"Aichi Prefecture",Ichinomiya-shi,
JP,JP-AP,"Aichi Prefecture",Inazawa,
JP,JP-AP,"Aichi Prefecture",Inazawa-shi,
JP,JP-AP,"Aichi Prefecture",Inuyama,
JP,JP-AP,"Aichi Prefecture",Inuyama-shi,
JP,JP-AP,"Aichi Prefecture",Ishiki,
JP,JP-AP,"Aichi Prefecture",Iwakura,
JP,JP-AP,"Aichi Prefecture",Iwakura-shi,
JP,JP-AP,"Aichi Prefecture",Kanie,
JP,JP-AP,"Aichi Prefecture",Kariya,
JP,JP-AP,"Aichi Prefecture",Kariya-shi,
JP,JP-AP,"Aichi Prefecture",Kasugai,
JP,JP-AP,"Aichi Prefecture",Kasugai-shi,
JP,JP-AP,"Aichi Prefecture",Kitanagoya,
JP,JP-AP,"Aichi Prefecture",Kitanagoya-shi,
JP,JP-AP,"Aichi Prefecture",Kiyosu-shi,
JP,JP-AP,"Aichi Prefecture",Komaki,
JP,JP-AP,"Aichi Prefecture",Komaki-shi,
JP,JP-AP,"Aichi Prefecture",Konan,
JP,JP-AP,"Aichi Prefecture",Konan-shi,
JP,JP-AP,"Aichi Prefecture",Kozakai-cho,
JP,JP-AP,"Aichi Prefecture",Kuroda,
JP,JP-AP,"Aichi Prefecture",Miyoshi-shi,
JP,JP-AP,"Aichi Prefecture",Nagakute-shi,
JP,JP-AP,"Aichi Prefecture",Nagoya,
JP,JP-AP,"Aichi Prefecture",Nishio,
JP,JP-AP,"Aichi Prefecture",Nishio-shi,
JP,JP-AP,"Aichi Prefecture",Nisshin-shi,
JP,JP-AP,"Aichi Prefecture",Obu,
JP,JP-AP,"Aichi Prefecture",Obu-shi,
JP,JP-AP,"Aichi Prefecture",Okazaki-shi,
JP,JP-AP,"Aichi Prefecture",Owariasahi-shi,
JP,JP-AP,"Aichi Prefecture",Seto,
JP,JP-AP,"Aichi Prefecture",Seto-shi,
JP,JP-AP,"Aichi Prefecture",Shinshiro,
JP,JP-AP,"Aichi Prefecture",Shinshiro-shi,
JP,JP-AP,"Aichi Prefecture",Sobue,
JP,JP-AP,"Aichi Prefecture",Tahara,
JP,JP-AP,"Aichi Prefecture",Tahara-shi,
JP,JP-AP,"Aichi Prefecture",Takahama,
JP,JP-AP,"Aichi Prefecture",Takahama-shi,
JP,JP-AP,"Aichi Prefecture",Taketoyo,
JP,JP-AP,"Aichi Prefecture",Tokai-shi,
JP,JP-AP,"Aichi Prefecture",Tokoname,
JP,JP-AP,"Aichi Prefecture",Tokoname-shi,
JP,JP-AP,"Aichi Prefecture",Toyoake,
JP,JP-AP,"Aichi Prefecture",Toyoake-shi,
JP,JP-AP,"Aichi Prefecture",Toyohama,
JP,JP-AP,"Aichi Prefecture",Toyohashi,
JP,JP-AP,"Aichi Prefecture",Toyohashi-shi,
JP,JP-AP,"Aichi Prefecture",Toyokawa,
JP,JP-AP,"Aichi Prefecture",Toyokawa-shi,
JP,JP-AP,"Aichi Prefecture",Toyota-shi,
JP,JP-AP,"Aichi Prefecture",Tsushima,
JP,JP-AP,"Aichi Prefecture",Tsushima-shi,
JP,JP-AP,"Aichi Prefecture",Yatomi-shi,
JP,JP-AP,"Akita Prefecture",Akita,
JP,JP-AP,"Akita Prefecture","Akita Shi",
JP,JP-AP,"Akita Prefecture",Daisen,
JP,JP-AP,"Akita Prefecture",Daisen-shi,
JP,JP-AP,"Akita Prefecture",Hanawa,
JP,JP-AP,"Akita Prefecture",Kakunodatemachi,
JP,JP-AP,"Akita Prefecture",Katagami,
JP,JP-AP,"Akita Prefecture",Katagami-shi,
JP,JP-AP,"Akita Prefecture","Kazuno Shi",
JP,JP-AP,"Akita Prefecture",Kitaakita-shi,
JP,JP-AP,"Akita Prefecture",Nikaho-shi,
JP,JP-AP,"Akita Prefecture",Noshiro,
JP,JP-AP,"Akita Prefecture","Noshiro Shi",
JP,JP-AP,"Akita Prefecture",Odate,
JP,JP-AP,"Akita Prefecture",Odate-shi,
JP,JP-AP,"Akita Prefecture",Oga,
JP,JP-AP,"Akita Prefecture",Oga-shi,
JP,JP-AP,"Akita Prefecture",Omagari,
JP,JP-AP,"Akita Prefecture",Semboku-shi,
JP,JP-AP,"Akita Prefecture",Takanosu,
JP,JP-AP,"Akita Prefecture",Tenno,
JP,JP-AP,"Akita Prefecture",Yokote,
JP,JP-AP,"Akita Prefecture",Yokote-shi,
JP,JP-AP,"Akita Prefecture",Yurihonjo,
JP,JP-AP,"Akita Prefecture",Yurihonjo-shi,
JP,JP-AP,"Akita Prefecture",Yuzawa,
JP,JP-AP,"Akita Prefecture",Yuzawa-shi,
JP,JP-AP,"Aomori Prefecture",Aomori,
JP,JP-AP,"Aomori Prefecture","Aomori Shi",
JP,JP-AP,"Aomori Prefecture",Goshogawara,
JP,JP-AP,"Aomori Prefecture","Goshogawara Shi",
JP,JP-AP,"Aomori Prefecture",Hachinohe,
JP,JP-AP,"Aomori Prefecture","Hachinohe Shi",
JP,JP-AP,"Aomori Prefecture",Hirakawa,
JP,JP-AP,"Aomori Prefecture","Hirakawa Shi",
JP,JP-AP,"Aomori Prefecture",Hirosaki,
JP,JP-AP,"Aomori Prefecture","Hirosaki Shi",
JP,JP-AP,"Aomori Prefecture",Kuroishi,
JP,JP-AP,"Aomori Prefecture","Kuroishi Shi",
JP,JP-AP,"Aomori Prefecture",Misawa,
JP,JP-AP,"Aomori Prefecture","Misawa Shi",
JP,JP-AP,"Aomori Prefecture",Mutsu,
JP,JP-AP,"Aomori Prefecture",Mutsu-shi,
JP,JP-AP,"Aomori Prefecture",Namioka,
JP,JP-AP,"Aomori Prefecture",Shimokizukuri,
JP,JP-AP,"Aomori Prefecture","Towada Shi",
JP,JP-AP,"Aomori Prefecture",Tsugaru,
JP,JP-AP,"Aomori Prefecture","Tsugaru Shi",
JP,JP-CP,"Chiba Prefecture",Abiko,
JP,JP-CP,"Chiba Prefecture",Abiko-shi,
JP,JP-CP,"Chiba Prefecture",Asahi-shi,
JP,JP-CP,"Chiba Prefecture",Chiba,
JP,JP-CP,"Chiba Prefecture",Choshi-shi,
JP,JP-CP,"Chiba Prefecture",Funabashi-shi,
JP,JP-CP,"Chiba Prefecture",Futtsu,
JP,JP-CP,"Chiba Prefecture",Hasaki,
JP,JP-CP,"Chiba Prefecture",Honcho,
JP,JP-CP,"Chiba Prefecture",Ichihara,
JP,JP-CP,"Chiba Prefecture","Ichihara Shi",
JP,JP-CP,"Chiba Prefecture","Ichikawa Shi",
JP,JP-CP,"Chiba Prefecture",Inzai-shi,
JP,JP-CP,"Chiba Prefecture",Isumi,
JP,JP-CP,"Chiba Prefecture","Isumi Shi",
JP,JP-CP,"Chiba Prefecture","Kamagaya Shi",
JP,JP-CP,"Chiba Prefecture",Kamogawa,
JP,JP-CP,"Chiba Prefecture",Kamogawa-shi,
JP,JP-CP,"Chiba Prefecture",Kashiwa,
JP,JP-CP,"Chiba Prefecture","Kashiwa Shi",
JP,JP-CP,"Chiba Prefecture",Katori-shi,
JP,JP-CP,"Chiba Prefecture",Katsuura,
JP,JP-CP,"Chiba Prefecture",Katsuura-shi,
JP,JP-CP,"Chiba Prefecture",Kimitsu,
JP,JP-CP,"Chiba Prefecture",Kisarazu,
JP,JP-CP,"Chiba Prefecture","Kisarazu Shi",
JP,JP-CP,"Chiba Prefecture","Matsudo Shi",
JP,JP-CP,"Chiba Prefecture","Minamiboso Shi",
JP,JP-CP,"Chiba Prefecture",Mobara,
JP,JP-CP,"Chiba Prefecture","Mobara Shi",
JP,JP-CP,"Chiba Prefecture",Nagareyama,
JP,JP-CP,"Chiba Prefecture",Nagareyama-shi,
JP,JP-CP,"Chiba Prefecture",Narashino-shi,
JP,JP-CP,"Chiba Prefecture",Narita,
JP,JP-CP,"Chiba Prefecture",Narita-shi,
JP,JP-CP,"Chiba Prefecture",Naruto,
JP,JP-CP,"Chiba Prefecture",Noda,
JP,JP-CP,"Chiba Prefecture",Noda-shi,
JP,JP-CP,"Chiba Prefecture",Oami,
JP,JP-CP,"Chiba Prefecture",Oamishirasato-shi,
JP,JP-CP,"Chiba Prefecture",Ohara,
JP,JP-CP,"Chiba Prefecture",Omigawa,
JP,JP-CP,"Chiba Prefecture",Sakura,
JP,JP-CP,"Chiba Prefecture",Sakura-shi,
JP,JP-CP,"Chiba Prefecture",Sambu-gun,
JP,JP-CP,"Chiba Prefecture",Sanmu,
JP,JP-CP,"Chiba Prefecture",Sanmu-shi,
JP,JP-CP,"Chiba Prefecture",Sawara,
JP,JP-CP,"Chiba Prefecture",Shiroi,
JP,JP-CP,"Chiba Prefecture",Shiroi-shi,
JP,JP-CP,"Chiba Prefecture",Shisui,
JP,JP-CP,"Chiba Prefecture",Sodegaura-shi,
JP,JP-CP,"Chiba Prefecture",Sosa-shi,
JP,JP-CP,"Chiba Prefecture",Tateyama,
JP,JP-CP,"Chiba Prefecture",Tateyama-shi,
JP,JP-CP,"Chiba Prefecture",Togane,
JP,JP-CP,"Chiba Prefecture",Togane-shi,
JP,JP-CP,"Chiba Prefecture",Tomisato-shi,
JP,JP-CP,"Chiba Prefecture",Urayasu-shi,
JP,JP-CP,"Chiba Prefecture",Yachimata,
JP,JP-CP,"Chiba Prefecture",Yachimata-shi,
JP,JP-CP,"Chiba Prefecture",Yachiyo-shi,
JP,JP-CP,"Chiba Prefecture",Yokaichiba,
JP,JP-CP,"Chiba Prefecture",Yotsukaido,
JP,JP-CP,"Chiba Prefecture",Yotsukaido-shi,
JP,JP-EP,"Ehime Prefecture",Hojo,
JP,JP-EP,"Ehime Prefecture",Imabari-shi,
JP,JP-EP,"Ehime Prefecture",Iyo,
JP,JP-EP,"Ehime Prefecture",Iyo-shi,
JP,JP-EP,"Ehime Prefecture",Kawanoecho,
JP,JP-EP,"Ehime Prefecture",Kihoku-cho,
JP,JP-EP,"Ehime Prefecture",Masaki-cho,
JP,JP-EP,"Ehime Prefecture",Matsuyama-shi,
JP,JP-EP,"Ehime Prefecture",Niihama,
JP,JP-EP,"Ehime Prefecture",Niihama-shi,
JP,JP-EP,"Ehime Prefecture",Ozu,
JP,JP-EP,"Ehime Prefecture",Ozu-shi,
JP,JP-EP,"Ehime Prefecture",Saijo,
JP,JP-EP,"Ehime Prefecture",Saijo-shi,
JP,JP-EP,"Ehime Prefecture",Seiyo-shi,
JP,JP-EP,"Ehime Prefecture","Shikoku-chuo Shi",
JP,JP-EP,"Ehime Prefecture",Toon-shi,
JP,JP-EP,"Ehime Prefecture",Uwajima,
JP,JP-EP,"Ehime Prefecture",Uwajima-shi,
JP,JP-EP,"Ehime Prefecture",Yawatahama-shi,
JP,JP-FP,"Fukui Prefecture",Asahi,
JP,JP-FP,"Fukui Prefecture",Awara-shi,
JP,JP-FP,"Fukui Prefecture",Echizen-shi,
JP,JP-FP,"Fukui Prefecture",Fukui-shi,
JP,JP-FP,"Fukui Prefecture",Katsuyama,
JP,JP-FP,"Fukui Prefecture","Katsuyama Shi",
JP,JP-FP,"Fukui Prefecture",Maruoka,
JP,JP-FP,"Fukui Prefecture",Mikuni,
JP,JP-FP,"Fukui Prefecture",Obama,
JP,JP-FP,"Fukui Prefecture",Obama-shi,
JP,JP-FP,"Fukui Prefecture",Oi-gun,
JP,JP-FP,"Fukui Prefecture",Ono,
JP,JP-FP,"Fukui Prefecture",Ono-shi,
JP,JP-FP,"Fukui Prefecture",Sabae,
JP,JP-FP,"Fukui Prefecture",Sabae-shi,
JP,JP-FP,"Fukui Prefecture",Sakai-shi,
JP,JP-FP,"Fukui Prefecture",Takefu,
JP,JP-FP,"Fukui Prefecture",Tsuruga,
JP,JP-FP,"Fukui Prefecture",Tsuruga-shi,
JP,JP-FP,"Fukuoka Prefecture",Amagi,
JP,JP-FP,"Fukuoka Prefecture","Asakura Shi",
JP,JP-FP,"Fukuoka Prefecture",Buzen,
JP,JP-FP,"Fukuoka Prefecture",Buzen-shi,
JP,JP-FP,"Fukuoka Prefecture","Chikugo Shi",
JP,JP-FP,"Fukuoka Prefecture",Chikushino-shi,
JP,JP-FP,"Fukuoka Prefecture",Dazaifu-shi,
JP,JP-FP,"Fukuoka Prefecture",Fukuoka,
JP,JP-FP,"Fukuoka Prefecture",Fukuoka-shi,
JP,JP-FP,"Fukuoka Prefecture","Fukutsu Shi",
JP,JP-FP,"Fukuoka Prefecture",Iizuka,
JP,JP-FP,"Fukuoka Prefecture","Iizuka Shi",
JP,JP-FP,"Fukuoka Prefecture",Itoshima-shi,
JP,JP-FP,"Fukuoka Prefecture","Kama Shi",
JP,JP-FP,"Fukuoka Prefecture",Kanda,
JP,JP-FP,"Fukuoka Prefecture","Kasuga Shi",
JP,JP-FP,"Fukuoka Prefecture",Kawasaki,
JP,JP-FP,"Fukuoka Prefecture",Kitakyushu,
JP,JP-FP,"Fukuoka Prefecture",Koga,
JP,JP-FP,"Fukuoka Prefecture",Koga-shi,
JP,JP-FP,"Fukuoka Prefecture",Kurume,
JP,JP-FP,"Fukuoka Prefecture","Kurume Shi",
JP,JP-FP,"Fukuoka Prefecture",Maebaru-chuo,
JP,JP-FP,"Fukuoka Prefecture","Miyama Shi",
JP,JP-FP,"Fukuoka Prefecture",Miyata,
JP,JP-FP,"Fukuoka Prefecture","Miyawaka Shi",
JP,JP-FP,"Fukuoka Prefecture",Munakata-shi,
JP,JP-FP,"Fukuoka Prefecture",Nakama,
JP,JP-FP,"Fukuoka Prefecture","Nakama Shi",
JP,JP-FP,"Fukuoka Prefecture",Nishifukuma,
JP,JP-FP,"Fukuoka Prefecture",Nogata,
JP,JP-FP,"Fukuoka Prefecture","Nogata Shi",
JP,JP-FP,"Fukuoka Prefecture",Ogori-shi,
JP,JP-FP,"Fukuoka Prefecture",Okawa,
JP,JP-FP,"Fukuoka Prefecture",Okawa-shi,
JP,JP-FP,"Fukuoka Prefecture",Omuta,
JP,JP-FP,"Fukuoka Prefecture","Omuta Shi",
JP,JP-FP,"Fukuoka Prefecture",Onga-gun,
JP,JP-FP,"Fukuoka Prefecture",Onojo,
JP,JP-FP,"Fukuoka Prefecture","Onojo Shi",
JP,JP-FP,"Fukuoka Prefecture",Sasaguri,
JP,JP-FP,"Fukuoka Prefecture",Setakamachi-takayanagi,
JP,JP-FP,"Fukuoka Prefecture",Shiida,
JP,JP-FP,"Fukuoka Prefecture",Shingu,
JP,JP-FP,"Fukuoka Prefecture",Tagawa,
JP,JP-FP,"Fukuoka Prefecture","Tagawa Shi",
JP,JP-FP,"Fukuoka Prefecture",Tanushimarumachi-toyoki,
JP,JP-FP,"Fukuoka Prefecture",Tsuiki,
JP,JP-FP,"Fukuoka Prefecture","Ukiha Shi",
JP,JP-FP,"Fukuoka Prefecture",Umi,
JP,JP-FP,"Fukuoka Prefecture","Yame Shi",
JP,JP-FP,"Fukuoka Prefecture",Yanagawa,
JP,JP-FP,"Fukuoka Prefecture","Yanagawa Shi",
JP,JP-FP,"Fukuoka Prefecture",Yoshitomi,
JP,JP-FP,"Fukuoka Prefecture",Yukuhashi,
JP,JP-FP,"Fukuoka Prefecture","Yukuhashi Shi",
JP,JP-FP,"Fukushima Prefecture","Aizu-wakamatsu Shi",
JP,JP-FP,"Fukushima Prefecture",Date-shi,
JP,JP-FP,"Fukushima Prefecture",Fukushima,
JP,JP-FP,"Fukushima Prefecture","Fukushima Shi",
JP,JP-FP,"Fukushima Prefecture",Funehikimachi-funehiki,
JP,JP-FP,"Fukushima Prefecture",Hobaramachi,
JP,JP-FP,"Fukushima Prefecture",Inawashiro,
JP,JP-FP,"Fukushima Prefecture",Ishikawa,
JP,JP-FP,"Fukushima Prefecture",Iwaki,
JP,JP-FP,"Fukushima Prefecture",Iwaki-shi,
JP,JP-FP,"Fukushima Prefecture",Kitakata,
JP,JP-FP,"Fukushima Prefecture",Kitakata-shi,
JP,JP-FP,"Fukushima Prefecture",Koriyama,
JP,JP-FP,"Fukushima Prefecture","Koriyama Shi",
JP,JP-FP,"Fukushima Prefecture",Miharu,
JP,JP-FP,"Fukushima Prefecture",Minami-Soma,
JP,JP-FP,"Fukushima Prefecture","Minamisoma Shi",
JP,JP-FP,"Fukushima Prefecture",Motomiya,
JP,JP-FP,"Fukushima Prefecture",Motomiya-shi,
JP,JP-FP,"Fukushima Prefecture",Namie,
JP,JP-FP,"Fukushima Prefecture",Nihommatsu,
JP,JP-FP,"Fukushima Prefecture","Nihonmatsu Shi",
JP,JP-FP,"Fukushima Prefecture","Shirakawa Shi",
JP,JP-FP,"Fukushima Prefecture",Soma,
JP,JP-FP,"Fukushima Prefecture","Soma Shi",
JP,JP-FP,"Fukushima Prefecture",Sukagawa,
JP,JP-FP,"Fukushima Prefecture","Sukagawa Shi",
JP,JP-FP,"Fukushima Prefecture",Tamura,
JP,JP-FP,"Fukushima Prefecture",Tamura-shi,
JP,JP-FP,"Fukushima Prefecture",Yanagawamachi-saiwaicho,
JP,JP-GP,"Gifu Prefecture",Ena-shi,
JP,JP-GP,"Gifu Prefecture",Gero,
JP,JP-GP,"Gifu Prefecture",Gero-shi,
JP,JP-GP,"Gifu Prefecture",Gifu-shi,
JP,JP-GP,"Gifu Prefecture",Godo,
JP,JP-GP,"Gifu Prefecture",Gujo,
JP,JP-GP,"Gifu Prefecture",Gujo-shi,
JP,JP-GP,"Gifu Prefecture",Hashima,
JP,JP-GP,"Gifu Prefecture",Hashima-shi,
JP,JP-GP,"Gifu Prefecture",Hida,
JP,JP-GP,"Gifu Prefecture","Hida Shi",
JP,JP-GP,"Gifu Prefecture",Kaizu-shi,
JP,JP-GP,"Gifu Prefecture",Kakamigahara-shi,
JP,JP-GP,"Gifu Prefecture",Kani-shi,
JP,JP-GP,"Gifu Prefecture",Kasamatsucho,
JP,JP-GP,"Gifu Prefecture",Mino,
JP,JP-GP,"Gifu Prefecture",Mino-shi,
JP,JP-GP,"Gifu Prefecture",Minokamo,
JP,JP-GP,"Gifu Prefecture",Minokamo-shi,
JP,JP-GP,"Gifu Prefecture",Mitake,
JP,JP-GP,"Gifu Prefecture",Mizuho-shi,
JP,JP-GP,"Gifu Prefecture",Mizunami,
JP,JP-GP,"Gifu Prefecture",Mizunami-shi,
JP,JP-GP,"Gifu Prefecture",Motosu-shi,
JP,JP-GP,"Gifu Prefecture",Nakatsugawa,
JP,JP-GP,"Gifu Prefecture",Nakatsugawa-shi,
JP,JP-GP,"Gifu Prefecture",Ogaki-shi,
JP,JP-GP,"Gifu Prefecture",Seki-shi,
JP,JP-GP,"Gifu Prefecture",Tajimi,
JP,JP-GP,"Gifu Prefecture",Tajimi-shi,
JP,JP-GP,"Gifu Prefecture","Takayama Shi",
JP,JP-GP,"Gifu Prefecture",Tarui,
JP,JP-GP,"Gifu Prefecture",Toki,
JP,JP-GP,"Gifu Prefecture",Toki-shi,
JP,JP-GP,"Gifu Prefecture",Yamagata-shi,
JP,JP-GP,"Gunma Prefecture",Agatsuma-gun,
JP,JP-GP,"Gunma Prefecture",Annaka,
JP,JP-GP,"Gunma Prefecture","Annaka Shi",
JP,JP-GP,"Gunma Prefecture",Fujioka,
JP,JP-GP,"Gunma Prefecture","Fujioka Shi",
JP,JP-GP,"Gunma Prefecture",Isesaki,
JP,JP-GP,"Gunma Prefecture","Isesaki Shi",
JP,JP-GP,"Gunma Prefecture",Kanekomachi,
JP,JP-GP,"Gunma Prefecture",Kiryu,
JP,JP-GP,"Gunma Prefecture","Kiryu Shi",
JP,JP-GP,"Gunma Prefecture",Maebashi,
JP,JP-GP,"Gunma Prefecture","Maebashi Shi",
JP,JP-GP,"Gunma Prefecture",Midori,
JP,JP-GP,"Gunma Prefecture","Midori Shi",
JP,JP-GP,"Gunma Prefecture",Nakanojomachi,
JP,JP-GP,"Gunma Prefecture",Numata,
JP,JP-GP,"Gunma Prefecture","Numata Shi",
JP,JP-GP,"Gunma Prefecture",Omamacho-omama,
JP,JP-GP,"Gunma Prefecture",Ota,
JP,JP-GP,"Gunma Prefecture",Ota-shi,
JP,JP-GP,"Gunma Prefecture",Sakai-nakajima,
JP,JP-GP,"Gunma Prefecture",Shibukawa,
JP,JP-GP,"Gunma Prefecture",Shibukawa-shi,
JP,JP-GP,"Gunma Prefecture",Takasaki,
JP,JP-GP,"Gunma Prefecture","Takasaki Shi",
JP,JP-GP,"Gunma Prefecture",Tamamura,
JP,JP-GP,"Gunma Prefecture",Tatebayashi,
JP,JP-GP,"Gunma Prefecture",Tatebayashi-shi,
JP,JP-GP,"Gunma Prefecture",Tomioka,
JP,JP-GP,"Gunma Prefecture",Tomioka-shi,
JP,JP-GP,"Gunma Prefecture",Yoshii,
JP,JP-HP,"Hiroshima Prefecture","Aki-takata Shi",
JP,JP-HP,"Hiroshima Prefecture",Etajima-shi,
JP,JP-HP,"Hiroshima Prefecture",Fuchu-shi,
JP,JP-HP,"Hiroshima Prefecture",Fuchucho,
JP,JP-HP,"Hiroshima Prefecture",Fukuyama,
JP,JP-HP,"Hiroshima Prefecture","Fukuyama Shi",
JP,JP-HP,"Hiroshima Prefecture",Hatsukaichi,
JP,JP-HP,"Hiroshima Prefecture",Hatsukaichi-shi,
JP,JP-HP,"Hiroshima Prefecture","Higashihiroshima Shi",
JP,JP-HP,"Hiroshima Prefecture",Hiroshima,
JP,JP-HP,"Hiroshima Prefecture",Hiroshima-shi,
JP,JP-HP,"Hiroshima Prefecture",Innoshima,
JP,JP-HP,"Hiroshima Prefecture",Kannabecho-yahiro,
JP,JP-HP,"Hiroshima Prefecture",Kure,
JP,JP-HP,"Hiroshima Prefecture",Kure-shi,
JP,JP-HP,"Hiroshima Prefecture",Mihara,
JP,JP-HP,"Hiroshima Prefecture","Mihara Shi",
JP,JP-HP,"Hiroshima Prefecture",Miyajima,
JP,JP-HP,"Hiroshima Prefecture",Miyoshi,
JP,JP-HP,"Hiroshima Prefecture","Miyoshi Shi",
JP,JP-HP,"Hiroshima Prefecture",Ono-hara,
JP,JP-HP,"Hiroshima Prefecture",Onomichi,
JP,JP-HP,"Hiroshima Prefecture",Onomichi-shi,
JP,JP-HP,"Hiroshima Prefecture",Otake,
JP,JP-HP,"Hiroshima Prefecture",Otake-shi,
JP,JP-HP,"Hiroshima Prefecture",Shin'ichi,
JP,JP-HP,"Hiroshima Prefecture",Shobara,
JP,JP-HP,"Hiroshima Prefecture",Shobara-shi,
JP,JP-HP,"Hiroshima Prefecture",Takehara,
JP,JP-HP,"Hiroshima Prefecture",Takehara-shi,
JP,JP-HP,"Hokkaido Prefecture",Abashiri,
JP,JP-HP,"Hokkaido Prefecture","Abashiri Shi",
JP,JP-HP,"Hokkaido Prefecture",Akabira,
JP,JP-HP,"Hokkaido Prefecture",Akabira-shi,
JP,JP-HP,"Hokkaido Prefecture",Asahikawa,
JP,JP-HP,"Hokkaido Prefecture",Ashibetsu,
JP,JP-HP,"Hokkaido Prefecture",Ashibetsu-shi,
JP,JP-HP,"Hokkaido Prefecture",Bibai,
JP,JP-HP,"Hokkaido Prefecture",Chitose,
JP,JP-HP,"Hokkaido Prefecture","Chitose Shi",
JP,JP-HP,"Hokkaido Prefecture",Date,
JP,JP-HP,"Hokkaido Prefecture",Date-shi,
JP,JP-HP,"Hokkaido Prefecture",Ebetsu,
